Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Black and White Rainbows,Bush,"['pop rock', 'alternative rock']","['zuma rock records', 'caroline']","['bob rock', 'gavin rossdale']",Mar 10 2017,49.0
Different Creatures,Circa Waves,['pop rock'],['virgin emi'],['alan moulder'],Mar 10 2017,78.0
Elektrac,Shobaleader One,['electronic'],"['warp', 'wrap']",['squarepusher'],Mar 10 2017,71.0
Packs,Your Old Droog,"['hip hop', 'rap']","['droog', 'droog recordings', 'fat beats']","['edan', '88 keys', 'alchemist', 'the purist', 'your old droog', 'e. dan', 'nice rec', 'rtnc']",Mar 10 2017,81.0
Captain California,Murs,"['hip hop', 'rap']",['strange music'],"['wax roof', 'seven', 'dj rek', 'dj fresh', 'arcitec', 'k r.o.k.', 'buttercream bob', 'mod', 'anthony cruz', 'mr. len']",Mar 10 2017,82.0
Wired,Mallory Knox,"['pop rock', 'alternative rock']","['rca', 'search & destroy']","['gethin pearson', 'dan austin']",Mar 3 2017,75.0
Synthesis,Evanescence,"['pop rock', 'electronica']",['bmg'],"['will b. hunt', 'amy lee']",Nov 10 2017,69.0
English Tapas,Sleaford Mods,"['pop rock', 'post punk']",['rough trade'],['sleaford mods'],Mar 3 2017,81.0
World Eater,Blanck Mass,['electronic'],['sacred bones'],,Mar 3 2017,81.0
Last Place,Grandaddy,"['pop rock', 'indie pop', 'indie rock']","['columbia', '30th century records']",['jason lytle'],Mar 3 2017,76.0
Volcano,Temples,"['pop rock', 'psychedelic pop']","['fat possum', 'heavenly recordings']",['james bagshaw'],Mar 3 2017,72.0
Moh Lhean,Why?,"['hip hop', 'indie pop', 'rap']",['joyful noise'],"['josiah wolf', 'yoni wolf']",Mar 3 2017,76.0
Divide,Ed Sheeran,"['folk', 'pop rock', 'pop']","['atlantic', 'asylum']","['benny blanco', 'killbeatz', 'labrinth', 'will hicks', 'steve mac', 'ed sheeran', 'johnny mcdaid', 'mike elizondo']",Mar 3 2017,62.0
Everything Is Forgotten,Methyl Ethel,"['pop rock', 'rock']",['4ad'],,Mar 3 2017,56.0
Freedom Is Free,Chicano Batman,['pop rock'],['ato'],,Mar 3 2017,86.0
Flying Microtonal Banana,King Gizzard & the Lizard Wizard,"['pop rock', 'krautrock', 'psychedelic rock', 'acid rock']","['ato', 'heavenly', 'flightless']",,Feb 24 2017,72.0
Sick Scenes,Los Campesinos!,"['pop rock', 'indie rock']","['wichita recordings', 'wichita']","['john goodmanson', 'tom campesinos!']",Feb 24 2017,74.0
Why Love Now,Pissed Jeans,['pop rock'],['sub pop'],,Feb 24 2017,76.0
Crystal Fairy,Crystal Fairy,"['hard rock', 'alternative rock', 'sludge', 'alternative indie rock', 'rock']",['ipecac'],,Feb 24 2017,80.0
In Between,The Feelies,"['pop rock', 'rock']","['bar/none records', 'none records', 'bar']",,Feb 24 2017,80.0
Freedom Highway,Rhiannon Giddens,"['folk', 'americana', 'old time']",['nonesuch'],"['rhiannon giddens', 'dirk powell']",Feb 24 2017,80.0
Forget,Xiu Xiu,"['pop rock', 'rock']",['polyvinyl'],"['john congleton', 'angelo seo', 'greg saunier']",Feb 24 2017,78.0
Graveyard Whistling,Old 97's,['country'],['ato'],,Feb 24 2017,79.0
Drunk,Thundercat,"['electronic', 'r&b', 'jazz fusion']",['brainfeeder'],"['thundercat', 'mono/poly', 'sounwave', 'flying lotus']",Feb 24 2017,80.0
Gang Signs & Prayer,Stormzy,"['grime', 'rap']","['#merky records', 'warner music']","['sir spyro', 'swifta beater', 'fraser t smith', '169', 'e.y beats', 'sos', 'stormzy', 'mura masa', 'xtc', 'wizzy wow', 'sunny kale', 'ey']",Feb 24 2017,82.0
Common as Light and Love Are Red Valleys of Blood,Sun Kil Moon,"['indie rock', 'indie folk', 'pop rock', 'garage rock', 'folk rock']","['caldo verde records', 'caldo verde']",['mark kozelek'],Feb 17 2017,65.0
The  Breaker,Little Big Town,['country'],"['capitol', 'capitol nashville']",['jay joyce'],Feb 24 2017,78.0
The Iceberg,Oddisee,"['hip hop', 'rap']",['mello music group'],['oddisee'],Feb 24 2017,82.0
HNDRXX,Future,"['hip hop', 'trap', 'rap']","['epic', 'a1', 'freebandz']","['cubeatz', 'dy', 'cicero', 'nash b.', 'future', 'k major', 'dj mustard', 'sidney swift', 'metro boomin', 'dre moon', 'major seven', 'wheezy', 'king bnjmn', 'the track burnaz', 'xeryus g', 'detail', 'dj spinz', 'high klassified', 'southside', 'twice as nice', 'mantra', 'dj esco']",Feb 24 2017,78.0
Youngish American,Dams of the West,"['pop rock', 'alternative rock']","['columbia', '30th century records']",['patrick carney'],Feb 24 2017,56.0
Dirty Projectors,Dirty Projectors,"['pop rock', 'experimental rock', 'art pop']",['domino'],"['dave longstreth', 'tyondai braxton']",Feb 21 2017,77.0
Rosebudd's Revenge,Roc Marciano,"['hip hop', 'rap']",['marci enterprises'],"['animoss', 'the arch druids', 'knxwledge', 'roc marciano', 'mushroom jesus']",Feb 21 2017,83.0
Highway Queen,Nikki Lane,"['pop rock', 'americana', 'outlaw country']","['new west', 'new west records']","['collin dupuis', 'lee foster', 'nikki lane', 'jonathan tyler', 'matt pence']",Feb 17 2017,78.0
Dumb Blood,Vant,"['pop rock', 'indie rock', 'punk rock']",['parlophone'],"['sam miller', 'martin brammer']",Feb 17 2017,69.0
Prisoner,Ryan Adams,"['rock', 'alternative country', 'alt country']","['pax am', 'blue note']",['ryan adams'],Feb 17 2017,79.0
Big Balloon,Dutch Uncles,"['pop rock', 'post punk', 'art pop']",['memphis industries'],"['phil bulleymen', 'brendan williams']",Feb 17 2017,77.0
Life Will See You Now,Jens Lekman,"['pop rock', 'indie rock']",['secretly canadian'],"['ewan pearson', 'jens lekman']",Feb 17 2017,83.0
Silhouettes,Aquilo,"['indie', 'electronic', 'dream pop']","['universal', 'island']","['jonathan green', 'eg white', 'ben hayes', 'jay heigl', 'felix joseph', 'sohn', 'aquilo', 'lexxx', 'johnny mcdaid', 'ólafur arnalds']",Jan 27 2017,70.0
