tuple_id,genre
0,pop rock
0,alternative rock
1,pop rock
2,electronic
3,hip hop
3,rap
4,hip hop
4,rap
5,pop rock
5,alternative rock
6,pop rock
6,electronica
7,pop rock
7,post punk
8,electronic
9,pop rock
9,indie pop
9,indie rock
10,pop rock
10,psychedelic pop
11,hip hop
11,indie pop
11,rap
12,folk
12,pop rock
12,pop
13,pop rock
13,rock
14,pop rock
15,pop rock
15,krautrock
15,psychedelic rock
15,acid rock
16,pop rock
16,indie rock
17,pop rock
18,hard rock
18,alternative rock
18,sludge
18,alternative indie rock
18,rock
19,pop rock
19,rock
20,folk
20,americana
20,old time
21,pop rock
21,rock
22,country
23,electronic
23,r&b
23,jazz fusion
24,grime
24,rap
25,indie rock
25,indie folk
25,pop rock
25,garage rock
25,folk rock
26,country
27,hip hop
27,rap
28,hip hop
28,trap
28,rap
29,pop rock
29,alternative rock
30,pop rock
30,experimental rock
30,art pop
31,hip hop
31,rap
32,pop rock
32,americana
32,outlaw country
33,pop rock
33,indie rock
33,punk rock
34,rock
34,alternative country
34,alt country
35,pop rock
35,post punk
35,art pop
36,pop rock
36,indie rock
37,indie
37,electronic
37,dream pop
38,pop rock
38,indie rock
39,garage rock
39,pop rock
39,garage punk
40,folk
40,indie pop
40,folk rock
41,hip hop
41,trap
41,rap
42,hip hop
42,pop
43,country
44,hip hop
44,rap
45,vaporwave
45,ambient
45,neoclassical new age
45,electronic
46,pop rock
46,indie pop
47,blues
47,pop rock
47,soul
48,post hardcore
48,pop rock
48,hardcore punk
48,metalcore
48,sludge metal
49,pop rock
50,pop rock
51,electronic
52,hip hop
52,rap
53,pop rock
54,pop rock
54,pop
55,pop rock
55,alternative rock
55,art rock
56,pop rock
56,thrash metal
57,pop rock
57,alternative rock
57,americana
57,heartland rock
57,rock
58,pop rock
58,alternative rock
59,electronic
60,pop rock
60,indie rock
60,surf music
61,punk
61,heartland rock
61,punk rock
62,pop rock
62,hard rock
63,pop rock
63,crossover thrash
64,synth pop
64,pop rock
64,r&b
65,hip hop
65,rap
66,r&b
66,alternative r&b
67,alternative rock
67,pop rock
67,rock
67,post britpop
68,pop rock
68,rock
69,pop rock
69,contemporary folk
70,noise rock
70,indie rock
70,pop rock
70,post hardcore
70,punk rock
71,pop punk
71,indie rock
71,garage punk
71,pop rock
71,noise pop
72,pop rock
72,soft rock
72,funk
72,r&b
72,pop
73,surf punk
73,pop rock
73,indie rock
74,folk
74,world music
74,new age
74,progressive rock
75,synth pop
75,pop rock
75,indie rock
76,pop rock
76,punk rock
77,r&b
77,alternative r&b
78,pop rock
78,thrash metal
79,pop rock
79,rock
80,country
81,hip hop
81,alternative hip hop
81,rap
82,jazz
83,pop rock
84,ambient
84,electronic
84,post rock
85,synth pop
85,pop rock
85,new wave
85,house
86,pop rock
86,baroque pop
86,glam rock
87,ambient
87,drone
87,electronic
88,pop rock
88,alternative rock
88,hardcore punk
