item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
comedy,soundtrack,1,0.05824111822947001,2,0.11648223645894001,3,0.17472335468841002,0.5,0.3333333333333333,2.8616666666666664
vocal jazz,big band,2,0.11648223645894001,4,0.23296447291788003,4,0.23296447291788003,0.5,0.5,2.1462499999999998
dub,idm,1,0.05824111822947001,2,0.11648223645894001,4,0.23296447291788003,0.5,0.25,2.1462499999999998
west coast hip hop,g funk,4,0.23296447291788003,10,0.5824111822947,4,0.23296447291788003,0.4,1.0,1.717
traditional pop,big band,3,0.17472335468841002,9,0.52417006406523,4,0.23296447291788003,0.33333333333333337,0.75,1.4308333333333334
traditional pop,vocal jazz,3,0.17472335468841002,9,0.52417006406523,4,0.23296447291788003,0.33333333333333337,0.75,1.4308333333333334
electronic music,spoken word,1,0.05824111822947001,4,0.23296447291788003,3,0.17472335468841002,0.25,0.3333333333333333,1.4308333333333332
christian hip hop,christian alternative rock,1,0.05824111822947001,3,0.17472335468841002,4,0.23296447291788003,0.3333333333333333,0.25,1.4308333333333332
swing,big band,2,0.11648223645894001,6,0.34944670937682004,4,0.23296447291788003,0.3333333333333333,0.5,1.4308333333333332
gangsta rap,g funk,3,0.17472335468841002,10,0.5824111822947,4,0.23296447291788003,0.30000000000000004,0.75,1.28775
christmas,holiday,2,0.11648223645894001,14,0.8153756552125802,2,0.11648223645894001,0.14285714285714285,1.0,1.2264285714285714
christmas,classical crossover,1,0.05824111822947001,14,0.8153756552125802,1,0.05824111822947001,0.07142857142857142,1.0,1.2264285714285714
industrial metal,new age,1,0.05824111822947001,5,0.29120559114735,3,0.17472335468841002,0.2,0.3333333333333333,1.1446666666666667
country blues,psychedelic folk,1,0.05824111822947001,4,0.23296447291788003,4,0.23296447291788003,0.25,0.25,1.0731249999999999
math rock,instrumental rock,1,0.05824111822947001,4,0.23296447291788003,4,0.23296447291788003,0.25,0.25,1.0731249999999999
mathcore,avant garde metal,1,0.05824111822947001,4,0.23296447291788003,4,0.23296447291788003,0.25,0.25,1.0731249999999999
avant garde,classical,3,0.17472335468841002,7,0.4076878276062901,7,0.4076878276062901,0.42857142857142855,0.42857142857142855,1.0512244897959182
west coast hip hop,gangsta rap,6,0.34944670937682004,10,0.5824111822947,10,0.5824111822947,0.6000000000000001,0.6000000000000001,1.0302000000000002
